PC1	IP: 192.168.0.1
PC2	IP: 192.168.0.2



PC3	IP: 192.168.0.3



PC4	IP: 192.168.0.4
PC5	IP: 192.168.0.5
PC6	IP: 192.168.0.6
PC7	IP: 192.168.0.7


PC8	IP: 192.168.0.8
PC9	IP: 192.168.0.9

PC10	IP: 192.168.0.10
PC11	IP: 192.168.0.11
PC12	IP: 192.168.0.12


PC13	IP: 192.168.0.13
PC14	IP: 192.168.0.14
PC15	IP: 192.168.0.15
PC16	IP: 192.168.0.16


PC17	IP: 192.168.0.17
PC18	IP: 192.168.0.18
PC19	IP: 192.168.0.19
PC20	IP: 192.168.0.20

PC21	IP: 192.168.0.21
PC22	IP: 192.168.0.22
PC23	IP: 192.168.0.23
PC24	IP: 192.168.0.24

PC25	IP: 192.168.0.25
PC26	IP: 192.168.0.26

PC27	IP: 192.168.0.27

PC28	IP: 192.168.0.28
PC29	IP: 192.168.0.29
PC30	IP: 192.168.0.30
PC31	IP: 192.168.0.31
PC32	IP: 192.168.0.32
PC33	IP: 192.168.0.33
PC34	IP: 192.168.0.34
PC35	IP: 192.168.0.35
PC36	IP: 192.168.0.36
PC37	IP: 192.168.0.37
PC38	IP: 192.168.0.38
PC39	IP: 192.168.0.39
PC40	IP: 192.168.0.40
PC41	IP: 192.168.0.41
PC42	IP: 192.168.0.42
PC43	IP: 192.168.0.43
PC44	IP: 192.168.0.44
PC45	IP: 192.168.0.45
PC46	IP: 192.168.0.46
PC47	IP: 192.168.0.47
PC48	IP: 192.168.0.48
PC49	IP: 192.168.0.49
PC50	IP: 192.168.0.50
