Rede 1: 192.168.1.0
PC1: IP:192.168.1.1
PC2: IP:192.168.1.2
PC3: IP:192.168.1.3
PC4: IP:192.168.1.4
PC5: IP:192.168.1.5
PC6: IP:192.168.1.6
PC7: IP:192.168.1.7
PC8: IP:192.168.1.8
PC9: IP:192.168.1.9
PC10: IP:192.168.1.10
PC11: IP:192.168.1.11
PC12: IP:192.168.1.12
PC13: IP:192.168.1.13
PC14: IP:192.168.1.14
PC15: IP:192.168.1.15
PC16: IP:192.168.1.16
PC17: IP:192.168.1.17
PC18: IP:192.168.1.18
PC19: IP:192.168.1.19
PC20: IP:192.168.1.20
PC21: IP:192.168.1.21
PC22: IP:192.168.1.22
PC23: IP:192.168.1.23
PC24: IP:192.168.1.24
PC25: IP:192.168.1.25
Rede 2: 192.168.5.0
PC26: IP:192.168.5.26 Máscara: 255.255.255.0
PC27: IP:192.168.5.27 Máscara: 255.255.255.0
PC28: IP:192.168.5.28 Máscara: 255.255.255.0
PC29: IP:192.168.5.29 Máscara: 255.255.255.0
PC30: IP:192.168.5.30 Máscara: 255.255.255.0
PC31: IP:192.168.5.31 Máscara: 255.255.255.0
PC32: IP:192.168.5.32 Máscara: 255.255.255.0
PC33: IP:192.168.5.33 Máscara: 255.255.255.0
PC34: IP:192.168.5.34 Máscara: 255.255.255.0
PC35: IP:192.168.5.35 Máscara: 255.255.255.0
PC36: IP:192.168.5.36 Máscara: 255.255.255.0
PC37: IP:192.168.5.37 Máscara: 255.255.255.0
PC38: IP:192.168.5.38 Máscara: 255.255.255.0
PC39: IP:192.168.5.39 Máscara: 255.255.255.0
PC40: IP:192.168.5.40 Máscara: 255.255.255.0
PC41: IP:192.168.5.41 Máscara: 255.255.255.0
PC42: IP:192.168.5.42 Máscara: 255.255.255.0
PC43: IP:192.168.5.43 Máscara: 255.255.255.0
PC44: IP:192.168.5.44 Máscara: 255.255.255.0
PC45: IP:192.168.5.45 Máscara: 255.255.255.0
PC46: IP:192.168.5.46 Máscara: 255.255.255.0
PC47: IP:192.168.5.47 Máscara: 255.255.255.0
PC48: IP:192.168.5.48 Máscara: 255.255.255.0
PC49: IP:192.168.5.49 Máscara: 255.255.255.0
PC50: IP:192.168.5.50 Máscara: 255.255.255.0
